,0,1,2,3,4
175,650.4149,202.93462,-86.97283,-37.01348,2.19
176,75154.7,200.7185,-94.76441,-60.923656,1.87
177,62181.504,297.93393,-141.53561,-141.53561,2.21
178,34254.957,269.0518,-126.5365,-126.5365,2.14
179,12486.978,276.56064,-150.22853,-106.05452,2.16
180,6639.2866,95.03146,-38.913692,-19.762012,2.03
181,1424.3187,167.08023,-92.23915,-61.21141,1.35
182,857.57263,121.646324,-71.24261,-22.300718,2.12
183,2261.131,229.84482,-104.082275,-46.10375,2.2
184,1774.005,266.6705,-104.776634,-99.54858,2.24
185,22.491514,158.14684,-71.925415,-67.247505,2.37
186,211453.75,328.21167,-184.14258,-75.177956,1.06
187,55.735302,181.21819,-92.82272,-47.433113,1.27
188,23.42899,167.5053,-80.641754,-33.624454,2.18
189,205.22516,118.11152,-56.0769,-30.374178,1.82
190,4881.518,155.39156,-74.52297,-5.908634,1.09
191,68.44112,213.3162,-105.81664,-58.160324,2.28
192,1083.2626,102.02114,-47.975464,-30.538464,2.35
193,487566.06,234.4827,-122.923225,-122.923225,2.3
194,3969.1113,321.70984,-157.1289,-21.84008,1.65
195,9602.523,281.43463,-137.05316,-11.827247,1.57
196,7889.939,172.39484,-99.36916,-23.691051,1.81
197,924.0454,310.95883,-173.52197,-168.62218,2.47
198,3333.5647,187.53671,-90.833595,-22.242527,2.05
199,583.8583,105.82661,-53.91504,-33.924454,2.3
200,45840430.0,817.647,-291.18866,-258.61108,0.87
201,35224.004,308.16522,-111.55625,-41.363304,1.85
202,104.60946,157.65619,-77.475464,-76.45109,2.2
203,23.99247,168.9858,-79.117455,-79.117455,2.26
204,39927.05,197.67557,-118.97909,-8.139331,2.04
205,403419.44,425.8651,-266.2895,-107.034645,2.11
206,24252976.0,796.44104,-371.33023,-371.33023,0.34
207,395.25943,212.4519,-114.43785,-16.948843,1.69
208,19.955885,155.99194,-72.873566,-43.7588,2.21
209,230324.48,301.30298,-127.87886,-114.42749,1.12
