,0,1,2,3,4
73,178144450.0,1390.0714,-378.3712,-339.03036,0.77
74,19065424.0,865.46387,-302.24707,-45.727722,0.49
75,50814028.0,995.1163,-330.50406,-80.048416,1.29
76,32865194.0,1104.2771,-372.1466,-372.1466,1.17
77,26111324.0,980.30304,-323.36267,-181.62035,0.27
78,2260987.2,1071.9631,-455.58835,-416.26367,1.01
79,26393050.0,1108.4829,-419.02954,-152.84921,0.99
80,82681784.0,1382.1068,-422.13028,-127.15738,0.69
81,40389668.0,1563.1415,-674.2711,-674.2711,0.56
82,30220502.0,514.0622,-153.41008,-141.38757,1.27
83,52191188.0,1243.2347,-376.0349,-376.0349,1.11
84,15191771.0,1013.2951,-339.36243,-327.53308,1.14
85,121732.88,460.2918,-256.65305,-147.42244,1.63
86,41799556.0,1111.5709,-375.88953,-375.88953,0.87
87,26317400.0,894.4369,-311.85074,-169.38737,0.78
88,353951.56,393.86044,-171.02054,-171.02054,0.83
89,141731250.0,1229.7684,-348.9623,-259.32214,0.2
90,26467090.0,1227.2333,-401.59198,-69.695145,0.79
91,16776776.0,2095.3142,-706.77423,-278.3541,0.95
92,81635410.0,1024.6426,-351.5446,-351.5446,1.67
93,10831234.0,1191.8164,-522.0483,-149.99751,1.25
94,137845300.0,2207.121,-912.93066,-106.38618,0.92
95,42279400.0,945.88983,-318.4365,-197.1144,0.24
96,32278.664,364.68655,-199.22661,-136.89604,1.02
97,63769080.0,1089.4585,-459.22046,-256.90192,1.23
98,7428202.5,1151.9272,-494.0008,-454.10016,0.26
99,66841252.0,1045.677,-432.2563,-207.49428,0.16
100,49740772.0,1415.1248,-509.19485,-138.66064,0.27
101,44741784.0,1122.0938,-345.93048,-30.32031,0.18
102,15327851.0,2135.9521,-902.29846,-545.617,0.11
103,487216.1,721.90985,-378.13367,-378.13367,1.7
104,387554.06,827.56854,-419.0083,-419.0083,1.86
105,3477642.2,593.68756,-270.46732,-73.48331,1.03
106,1618661.4,686.65234,-289.18475,-16.132378,0.43
107,40362240.0,1374.8239,-491.20062,-230.47734,0.16
108,18479772.0,815.2499,-303.5936,-86.80997,0.22
109,22579318.0,1073.8417,-319.88315,-255.02913,0.74
110,176871340.0,1136.063,-307.27072,-307.27072,0.52
111,33923900.0,1463.8379,-529.16943,-529.16943,0.79
112,5049493.5,1263.8169,-551.795,-512.6771,0.47
113,14413051.0,1300.3724,-466.5929,-205.61444,0.88
114,9872288.0,1031.3723,-397.7132,-190.5301,1.42
115,82929360.0,1354.5674,-409.89496,-258.36774,0.98
116,946939.44,724.35236,-274.65057,-274.65057,1.09
117,161883650.0,1369.8845,-347.4751,-347.4751,0.75
118,74695050.0,1690.0016,-601.638,-115.346695,0.64
119,137594100.0,1106.0228,-329.79254,-290.32584,0.32
120,11682793.0,1109.4269,-510.12616,-199.92058,0.36
121,40423400.0,2299.6838,-855.076,-21.559381,1.47
122,4736084.0,1144.6089,-461.7662,-183.83594,0.33
123,729450.44,714.1082,-367.22586,-367.22586,1.24
124,1949198.4,917.27606,-359.7467,-255.48401,0.63
125,3594386.5,590.82526,-240.5865,-157.43135,0.4
126,16019307.0,870.32,-363.91873,-363.91873,0.78
127,942020.56,480.8909,-217.73512,-42.83525,0.86
128,6627920.0,972.4098,-385.93906,-307.56094,0.84
